sentiment,emotion,summary
🥺🙏🏻🙏🏻,Mixed,"Surprise - The reviewer is surprised and grateful, expressing emotional distress."
🥺,Sadness,The reviewer is expressing sadness and disappointment.
🥺,Sadness,"The reviewer expresses fear, indicating a negative emotional state."
🥺,Sadness,The reviewer is saddened by the situation and questions the actions taken.
🥰🥰🥰,Happiness,The reviewer finds the situation cute or endearing.
🥰,Positive,Happiness - The heart emoji symbolizes happiness or affection.
🥰,Happiness,Expressing affection or fondness.
🥰,Positive,"Happiness - The heart eyes emoji conveys affection or love, indicating a positive review."
🤨,Neutral/Confusion,"The repeated use of ""🤨"" suggests confusion or skepticism."
🤣,Happiness,Laughter and amusement
🤔,Neutral,"This comment is inquisitive and neutral, seeking understanding or explanation."
🙏🗿,Neutral,Expressing humility while eating
🙏,Positive,"Happiness - The review expresses gratitude or reverence, indicating a positive sentiment."
🙏,Gratitude,Expressing thanks
🙏,Happiness,Expressing gratitude or reverence.
🙄,Anger,"The reviewer expresses disdain or annoyance, indicating a negative emotion."
🙂,Positive,Happiness - The smiley face indicates happiness or contentment.
😹😹,Surprise,Expressing amusement or disbelief
😷,Neutral,"Holding one's breath, no clear emotion"
😷,Fear/Disgust,This comment suggests a sense of unease or disgust due to the graphic imagery of vomiting blood.
😷,Anger,"This comment, while not explicitly negative, expresses frustration or annoyance about not wearing masks."
😳,Surprise,Reacting to something unexpected.
😳,Surprise,Reacting to something shocking or unexpected.
😳,Mixed,"Surprise - The surprised face emoji suggests a mix of reactions, possibly due to an unexpected plot twist."
😳,Mixed,"Surprise - The surprised face emoji suggests a mix of reactions, possibly due to an unexpected plot twist."
😳,Mixed,"Surprise - The surprised face emoji suggests a mix of reactions, possibly due to an unexpected plot twist."
😳,Surprise,Reacting to something unexpected.
😱,Negative,"Fear - The fearful face emoji suggests a negative reaction, possibly due to a scary or disturbing scene."
😱,Fear,Reacting to something shocking or terrifying.
😱,Fear,Reacting to something terrifying.
😱,Negative,"Fear - The fearful face emoji suggests a negative reaction, possibly due to a scary or disturbing scene."
😭🙏,Happiness,Joy mixed with gratitude
😭🙏,Happiness,The use of 😭🙏 indicates the reviewer found the comment extremely funny.
😭🙏,Happiness,The combination of 😭 and 🙏 suggests the reviewer found something extremely funny.
😭🙏,Happiness,"🙏🙏🙏🙏 (Full of laugh, very funny)."
😭🙏,Positive,Happiness - The combination of laughter and praying hands indicates extreme enjoyment and amusement.
😭🙏,Happiness,Expressing extreme laughter and gratitude for something funny.
😭🙏,Mixed,"Surprise - The reviewer is surprised and amused by the situation, expressing gratitude and laughter."
😭🙏,Happiness,The combination of 😭 and 🙏 indicates the reviewer found something extremely funny.
😭😭😭,Happiness,Expressing extreme laughter indicating something very funny.
😭😭😭,Happiness,"""😭😭😭"" represents laughter and amusement, aligning with happiness."
😭😭😭,Positive,Happiness - Repeated laughter emojis suggest extreme amusement and enjoyment.
😭😭😭,Positive,Happiness - The excessive laughter emoji suggests extreme amusement and enjoyment.
😭😭😭,Happiness,"""😭😭😭"" signifies intense laughter and happiness."
😭😭😭,Happiness,Extreme laughter indicating something very funny.
😭😭,Positive,Happiness - The repeated laughter emojis indicate extreme amusement and enjoyment.
😭😭,Happiness,Expressing extreme laughter for something funny.
😭😭,Positive,Happiness - The repeated laughter emojis suggest extreme amusement and enjoyment.
😭😭,Happiness,Expressing extreme laughter for something funny.
😭💓,Sadness,This comment expresses empathy and sadness towards a pitiful situation.
😭,Happiness,Laughter and joy
😭,Happiness,This comment is positive and expressive of admiration or joy.
😭,Surprise,"Similar to Review 1, this comment is unexpected and humorous, likely due to a misunderstanding or joke."
😭,Surprise,"This comment is unexpected and humorous, likely due to a misunderstanding or joke."
😭,Happiness,The use of 😭 suggests the reviewer found the comment funny.
😭,Happiness,This indicates the reviewer found something funny.
😭,Happiness,The use of 😭 indicates the reviewer found the comment hilarious.
😭,Happiness,"""Pahala berlimpah buat orng yg menjaga kebersihan terutma anggota pandawara"" expresses joy and gratitude."
😭,Happiness,"""sampe muntah loh dia💔💔💔"" is a humorous, exaggerated reaction, indicating amusement."
😭,Happiness,The use of 😭 indicates the reviewer found something amusing.
😭,Positive,Happiness - The review conveys joy or happiness through the use of laughing emojis.
😭,Happiness,"The use of 😭 indicates the reviewer found the comment a riot, i.e., very funny."
😭,Happiness,The use of 😭🙏 suggests the reviewer found something extremely funny.
😭,Surprise,"Similar to Review 1 and 3, this comment is unexpected and humorous, likely due to a shared misunderstanding or joke."
😭,Happiness,This emoticon signifies laughter and amusement.
😭,Happiness,This comment is positive and expressive of joy or excitement.
😭,Happiness,The reviewer is amused or finds humor in the situation.
😭,Surprise,"The statement is unexpected and humorous, likely due to a misunderstanding or joke."
😭,Happiness,The use of 😭 suggests the reviewer found the comment amusing.
